City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pedasi,0,PA,1553554040,83,7.53,-80.03,79.23,14.9
Sola,90,FI,1553554025,100,62.78,29.36,30.99,8.05
Cabcab,56,PH,1553554042,95,13.63,124.05,79.95,14.0
Gikongoro,12,RW,1553554043,97,-2.46,29.57,53.49,2.93
Provideniya,90,RU,1553551200,86,64.42,-173.23,33.8,22.37
Quang Ngai,92,VN,1553553765,96,15.12,108.8,67.89,2.59
Bacolod,80,PH,1553554047,90,10.68,122.95,76.26,7.74
Pitimbu,0,BR,1553551200,78,-7.47,-34.81,80.6,8.05
Maloy,36,ID,1553554049,74,1.0,118.1,82.02,2.93
Saint-Joseph,90,FR,1553554028,82,43.56,6.97,57.2,1.12
Nchelenge,56,ZM,1553554052,96,-9.35,28.74,66.81,2.37
Vanderhoof,0,CA,1553554008,48,54.02,-124.02,46.2,3.15
Sibu,75,MY,1553551200,94,2.29,111.83,75.2,3.38
Garh Maharaja,0,PK,1553554055,85,30.83,71.9,60.15,2.93
Vilhena,75,BR,1553551200,94,-12.74,-60.15,75.2,4.7
Sarkand,8,KZ,1553554058,86,45.41,79.91,33.96,2.26
Billings,40,US,1553553995,37,45.79,-108.5,61.0,4.7
Port Hardy,75,CA,1553551200,66,50.7,-127.42,50.0,3.36
Fort Nelson,40,CA,1553551200,34,58.81,-122.69,50.0,9.17
Ucluelet,90,CA,1553553788,81,48.94,-125.55,54.0,9.17
Trofors,0,NO,1553552400,92,65.54,13.39,30.2,4.7
Huilong,68,CN,1553554066,87,28.89,110.18,46.56,2.15
Biak,92,ID,1553554067,92,-0.91,122.88,81.21,2.26
Petropavlovsk-Kamchatskiy,0,RU,1553551200,49,53.05,158.65,23.0,6.71
Puerto Maldonado,75,PE,1553551200,334,-12.59,-69.19,33.8,2.24
Grand Gaube,40,MU,1553553846,94,-20.01,57.66,77.0,2.24
Muli,0,IN,1553554072,44,22.62,71.45,73.74,9.19
Sayyan,0,YE,1553554073,70,15.17,44.32,46.47,4.38
Sitka,56,US,1553553927,54,37.17,-99.65,57.99,1.99
Ayagoz,48,KZ,1553554075,90,47.96,80.43,26.22,6.96
Bafoulabe,0,ML,1553554077,50,13.81,-10.83,79.14,6.29
Pacific Grove,1,US,1553554055,45,36.62,-121.92,71.6,4.7
Angicos,12,BR,1553553793,96,-5.67,-36.6,74.28,2.93
Gambela,0,ET,1553554080,82,8.25,34.59,62.04,3.15
Saldanha,0,PT,1553554081,40,41.42,-6.55,47.1,15.23
Isangel,12,VU,1553554082,100,-19.55,169.27,80.85,20.6
Susehri,0,TR,1553554083,75,40.16,38.09,12.54,2.48
Oktyabrskoye,0,RU,1553553933,85,56.73,85.44,26.01,2.37
Labuhan,80,ID,1553554086,88,-2.54,115.51,77.88,2.15
Mlonggo,40,ID,1553551200,100,-6.53,110.7,75.2,4.7
Walvis Bay,64,NA,1553551331,87,-22.95,14.51,60.8,1.12
Timbuktu,92,ML,1553554089,20,16.77,-3.01,89.22,8.97
Saint Anthony,40,US,1553553915,37,43.97,-111.68,50.0,5.82
Talnakh,92,RU,1553554092,92,69.49,88.39,25.59,13.89
Ahipara,56,NZ,1553554094,72,-35.17,173.16,73.02,15.01
Chibombo,0,ZM,1553554095,82,-14.68,28.09,64.11,2.82
Takoradi,12,GH,1553554096,99,4.89,-1.75,81.39,5.73
San Rafael,8,AR,1553554098,50,-34.61,-68.33,58.17,7.85
Ponta Delgada,20,PT,1553554073,87,37.73,-25.67,57.2,14.99
Chapais,90,CA,1553553000,65,49.78,-74.86,8.6,11.41
Camacha,40,PT,1553553000,77,33.08,-16.33,64.4,24.16
Pringsewu,88,ID,1553554103,93,-5.36,104.98,73.47,3.15
Nokaneng,0,BW,1553554104,60,-19.66,22.19,71.85,3.94
Punta Alta,0,AR,1553551200,50,-27.46,-55.82,75.2,8.05
Carauari,32,BR,1553554107,91,-4.88,-66.9,78.96,3.04
Along,100,IN,1553554108,96,28.17,94.8,54.21,1.7
Ustyuzhna,76,RU,1553554109,81,58.84,36.43,30.0,2.82
Sangar,0,RU,1553554110,68,63.92,127.47,-1.87,4.16
Tura,8,IN,1553554112,68,25.52,90.21,67.44,5.5
Namtsy,0,RU,1553551200,64,62.72,129.66,-0.41,6.71
Coquimbo,40,CL,1553551200,82,-29.95,-71.34,59.0,10.29
Ushtobe,0,KZ,1553554115,76,45.25,77.98,31.71,2.93
Monze,0,ZM,1553554116,82,-16.28,27.48,62.58,2.59
Buin,0,CL,1553554060,36,-33.73,-70.74,78.01,8.05
Yuzha,8,RU,1553554119,84,56.58,42.01,23.88,9.98
Raudeberg,80,NO,1553553912,60,61.99,5.14,39.2,17.22
Singaparna,76,ID,1553554121,96,-7.35,108.11,69.69,2.04
Kamenka,0,RU,1553554122,87,53.19,44.05,22.62,7.07
Pemba,88,MZ,1553554123,100,-12.97,40.52,83.19,7.74
Mogzon,88,RU,1553554125,57,51.74,111.97,15.06,8.75
Najran,0,SA,1553551200,26,17.54,44.22,82.4,4.7
Jalingo,0,NG,1553554127,40,10.21,12.82,70.23,5.5
Tanout,20,NE,1553554128,20,14.97,8.88,77.7,11.54
Suez,0,EG,1553554129,64,29.97,32.54,42.96,2.93
Ola,8,RU,1553554132,100,59.58,151.3,19.29,10.87
Pemberton,24,AU,1553553750,82,-34.44,116.03,55.0,4.0
Rio Rancho,1,US,1553554127,15,35.27,-106.63,70.0,3.36
Hamina,75,FI,1553553900,80,60.57,27.2,30.2,8.05
Teya,20,MX,1553553957,38,21.05,-89.07,91.4,11.41
Dingle,48,PH,1553554137,83,11.0,122.67,77.43,11.1
Tilichiki,88,RU,1553554139,81,60.47,166.1,19.11,21.27
Margate,75,AU,1553554095,44,-43.03,147.26,57.2,13.87
Liwale,100,TZ,1553554141,93,-9.8,37.92,74.19,2.71
Port Hedland,75,AU,1553551200,88,-20.31,118.58,80.6,8.05
Roald,75,NO,1553554010,64,62.58,6.12,37.4,9.17
Srednekolymsk,80,RU,1553554145,63,67.46,153.71,-8.17,6.73
Solnechnyy,0,RU,1553554146,72,50.72,136.64,17.22,5.73
Lavumisa,92,ZA,1553554147,96,-27.31,31.88,68.52,8.41
Shenjiamen,0,CN,1553554148,95,29.96,122.3,53.67,7.4
Rayong,20,TH,1553553601,88,12.68,101.28,80.01,4.7
Dunmore East,24,IE,1553554062,85,52.15,-6.99,48.99,7.29
Vanavara,80,RU,1553554152,74,60.35,102.28,11.64,4.94
Schwalmtal,75,DE,1553554050,80,50.68,9.3,42.01,8.05
Olinda,40,EC,1553553913,70,-2.03,-79.75,84.99,6.93
Diffa,0,NE,1553554155,29,13.32,12.61,71.76,8.19
Knysna,92,ZA,1553551200,93,-34.04,23.05,60.8,3.36
Wasilla,1,US,1553553923,52,61.58,-149.44,46.99,4.7
Lagunas,0,PE,1553554159,87,-5.23,-75.68,80.49,2.15
High Level,20,CA,1553551200,27,58.52,-117.13,53.6,5.82
Moura,0,PT,1553551200,64,38.14,-7.45,62.6,5.82
Tessalit,92,ML,1553554162,38,20.2,1.01,77.34,8.41
Tongren,92,CN,1553554163,91,27.72,109.18,49.08,2.71
Berdychiv,0,UA,1553554164,77,49.89,28.58,29.46,10.76
Puerto Ayacucho,20,CO,1553551200,39,5.66,-67.63,96.8,2.93
Zeven,0,DE,1553554062,100,53.3,9.28,41.0,9.17
Constitucion,5,MX,1553553617,8,23.99,-104.67,82.4,10.29
Half Moon Bay,90,US,1553554150,87,37.46,-122.43,62.6,17.22
Tulsa,90,US,1553553995,58,36.16,-95.99,59.0,5.82
Yarmouth,0,GB,1553554145,80,50.71,-1.5,43.0,4.38
Marystown,48,CA,1553553974,100,47.17,-55.16,32.0,19.82
Dongsheng,92,CN,1553554174,85,29.72,112.52,50.88,2.82
Boone,90,US,1553554156,100,36.22,-81.67,57.2,2.15
Beloha,0,MG,1553554176,88,-25.17,45.06,71.58,4.83
Bandarbeyla,92,SO,1553554177,100,9.49,50.81,80.04,6.96
Bandundu,56,CD,1553554179,92,-3.32,17.38,72.03,2.93
Kalemie,20,CD,1553554180,100,-5.95,29.2,76.44,5.5
Goya,56,AR,1553554181,59,-29.14,-59.27,68.34,12.44
Havoysund,40,NO,1553552400,74,71.0,24.66,30.2,10.29
Uarini,20,BR,1553551200,83,-2.98,-65.16,80.6,3.36
Bollnas,8,SE,1553553986,45,61.35,16.39,39.0,9.98
Dawei,32,MM,1553554186,92,14.07,98.19,74.1,2.26
Nanma,0,CN,1553554187,43,35.7,113.14,40.8,2.37
Kloulklubed,75,PW,1553550720,83,7.04,134.26,80.6,10.65
Arsenyev,80,RU,1553554189,66,44.16,133.27,29.19,8.19
Alyangula,90,AU,1553551200,83,-13.85,136.42,84.2,5.82
Ostrovnoy,68,RU,1553554192,90,68.05,39.51,26.22,14.67
Pleasanton,75,US,1553553941,59,37.66,-121.87,66.2,9.64
Linares,0,CL,1553554194,85,-35.85,-71.6,56.28,2.15
Letterkenny,68,IE,1553554040,93,54.95,-7.73,45.48,12.44
Kulhudhuffushi,0,MV,1553554196,100,6.62,73.07,84.54,6.96
Sechura,0,PE,1553554197,70,-5.56,-80.82,76.08,11.99
Zeya,0,RU,1553554198,52,53.74,127.27,14.61,7.4
College,90,US,1553554028,86,64.86,-147.8,42.01,3.36
Saijo,40,JP,1553553210,70,33.92,133.18,53.01,3.36
Birjand,90,IR,1553551200,44,32.86,59.22,60.8,6.93
Talaya,0,RU,1553553933,85,55.79,84.89,24.8,4.16
Corinto,92,BR,1553554204,66,-18.36,-44.46,77.79,3.71
Normandin,75,CA,1553551200,34,48.84,-72.53,21.2,20.8
San Cristobal,75,EC,1553553967,67,-0.39,-78.55,62.6,11.41
Salo,44,FI,1553554022,86,60.38,23.13,30.0,5.82
Zagare,20,LT,1553552400,92,56.36,23.25,30.2,13.87
Chivilcoy,36,AR,1553554208,69,-34.9,-60.02,57.27,7.4
Noumea,24,NC,1553551200,65,-22.28,166.46,80.6,5.82
Kozhanka,0,UA,1553554193,83,49.97,29.75,36.0,6.71
Leh,64,IN,1553554214,80,34.16,77.58,-2.86,1.25
Hisor,8,TJ,1553553000,50,38.53,68.55,51.8,6.71
Westport,8,IE,1553553784,81,53.8,-9.52,48.99,8.3
Porto Belo,20,BR,1553554089,78,-27.15,-48.54,75.99,17.22
Mahibadhoo,0,MV,1553554219,100,3.78,72.97,84.36,11.77
Virden,32,CA,1553553926,93,49.85,-100.93,29.46,6.29
Auki,0,NG,1553554221,51,12.18,6.51,67.53,2.93
Beatrice,90,US,1553554221,62,40.27,-96.75,53.6,3.36
Ritchie,0,ZA,1553551200,68,-29.03,24.6,68.0,8.05
Mamu Kanjan,0,PK,1553554225,87,30.83,72.8,61.86,3.71
Namatanai,76,PG,1553554226,100,-3.66,152.44,80.22,14.79
